student_ID,knowledge_avg_score,question_avg_score,knowledge_t5v9e_count,question_3MwAFlmNO8EKrpY5zjUd_count
016226278e6a69e10aa4,0.1379310344827586,0.2142857142857142,58,14
061db2c91f94c612f2d4,1.0,1.0,5,1
0c57caf5358d30408034,0.3571428571428571,0.5,14,2
0d4a3518a188f6888380,0.5454545454545454,0.5,11,2
0fc996fff93c00ca5ced,0.2075471698113207,0.4666666666666667,53,15
11dae4659d30031a10dd,0.2769230769230769,0.3461538461538461,65,39
20f97b68982d1b2f5c73,0.1764705882352941,1.0,34,1
3919286d3d8c4f4d339c,0.3666666666666666,0.4583333333333333,30,12
3ba42ec5350aacb0750a,0.4375,0.5416666666666666,32,12
3ff069e95a9047dbfa8b,0.5370370370370371,0.6666666666666666,27,6
3p34idi1traz2k8j0ulk,0.396551724137931,0.55,29,10
453d43b3f6bdf467e672,0.5,0.4444444444444444,18,9
4a6e1cf1e4e9d8f54717,0.8333333333333334,1.0,6,1
4vnvytgnlmv4jbfw9h3t,0.3,0.5,20,3
5f7b406b2bbf9789735f,0.4117647058823529,1.0,17,1
61de1e21015e07aacbe8,0.2960526315789473,0.2435897435897435,76,39
6cxj0lsinp9d7215gtpe,0.3392857142857143,0.4090909090909091,28,11
6d22912e7e93a96a8690,0.4166666666666667,0.5,12,2
6dx4zt62b8m37krb5l3n,0.4545454545454545,0.6,22,10
6fe309a58b787e7010eb,0.2545454545454545,0.25,55,24
6iag08nt7se7f2hkgzx4,0.5,0.5,16,4
728a4a393899c37a5429,1.0,1.0,5,1
7694d71417c2f5202940,0.3194444444444444,0.3181818181818182,36,11
76fe2c19fa84d58b584b,0.1981132075471698,0.4333333333333333,53,15
7bb37669654dedc7e397,0.3064516129032258,0.375,31,12
7c1d8516e6c2ab2d3030,0.3947368421052631,1.0,19,2
8urc1lsyw615q5prnxwh,0.3536585365853658,0.4583333333333333,41,12
90f3fbedfce50f644011,0.2631578947368421,0.1428571428571428,19,7
93f451c36b535d39003d,1.0,1.0,5,1
9952cc289c9f690621ec,0.5,0.5,13,4
99a53846658ba3341de6,0.3823529411764705,1.0,17,1
9a25hcbd3mhgaj0fyelo,0.2058823529411764,0.3125,17,8
9d02a160cd171c5f4c18,0.2432432432432432,0.5833333333333334,37,6
9lfh7vk4u8eh6zz1dmvp,0.3095238095238095,0.35,21,10
a06fdb8743c4d4ef09fe,0.5,0.6666666666666666,22,3
a3a0e2129e405aef3d87,0.7777777777777778,0.625,9,4
a8350dcececa0b02dd14,0.2321428571428571,0.625,28,4
aa83cf5fc68c1dcb5038,0.575,0.4166666666666667,20,6
ac4d829c715fb0c36ad5,1.0,1.0,5,1
afc99b4940e933922aca,0.1630434782608695,0.25,46,6
b8162292f2171005c2ba,0.3125,0.4642857142857143,40,14
bb3328d3b1eecb5e1a8a,0.1454545454545454,0.054054054054054,55,37
buv73728fa9viqgrz5mj,0.3157894736842105,0.5,19,7
c5d83404b165578ef794,0.5,0.6666666666666666,19,3
c99e6802625540e4d1e2,0.625,0.6,16,5
c9c946fe211251af32d1,0.3979591836734694,0.375,49,36
c9c9f0b7606030f2aade,0.625,1.0,8,1
cade7d478dac7020a79b,0.2297297297297297,0.2857142857142857,37,7
cafe5989da5dfed9f404,0.0911764705882352,0.3,170,30
cf7f9c2c6872be9bf2d6,0.65,0.3333333333333333,10,3
cp4d94b2v0ws6am7mvuw,0.275,0.3888888888888889,20,9
d1e44a91dd4f37c03d43,0.3333333333333333,1.0,24,1
d3tt41de5iashfjr1txr,0.36,0.3888888888888889,25,9
d52b119f8da2a1812722,0.4285714285714285,1.0,14,2
d8ed5a1897987ffdeaed,0.4090909090909091,0.625,22,4
d93519b044de1fa037b0,1.0,1.0,5,1
db0bcf208cbed26d0bfe,0.5909090909090909,0.5,11,5
dcd0562f8fb44933cb08,0.4166666666666667,0.5,12,2
e3d0782396c346359a8f,0.5111111111111111,0.4333333333333333,45,30
e9b6fa8a87469779d732,0.3260869565217391,0.4,23,5
ec4897070f2d3b6eab89,0.5263157894736842,0.5454545454545454,19,11
f36a755a3fa5db5c0743,0.4705882352941176,0.3333333333333333,17,9
fkenlzdweox7v0zaopqo,0.2045454545454545,1.0,22,1
fqcud1c5mt7pdp9w0v6y,0.4545454545454545,0.5555555555555556,22,9
h6miro3m8713s3dxuipr,0.25,0.4285714285714285,18,7
i1fr7kd71b2ni39kn958,0.1428571428571428,0.3,21,5
i5hexmb5zlzhd8lvwdv3,0.3125,0.4166666666666667,24,12
ijieo064jbrs5ss1cmol,0.2241379310344827,0.1875,29,8
jyaxybaq8vui614ytd8i,0.3695652173913043,0.75,23,6
kilhyvtskm84umerpjee,0.25,0.35,32,10
lexte4gc3dvjb7ty0qf5,0.5,0.625,18,4
mqqf68ny1kdp6i69i7tt,0.3684210526315789,0.5,19,5
oi7j42phxrp4mc1n9h4b,0.2291666666666666,0.5,24,3
pv0c4za1m616k25gfwfb,0.3181818181818182,0.3,22,10
reo07h0d5zehmotdlz2w,0.3269230769230769,0.3571428571428571,26,7
rq44ojyrvdtad0tzsm32,0.3076923076923077,0.6666666666666666,26,3
svxexhg20hs3bbqd4fm7,0.2368421052631578,0.4,19,5
t7x7ydt3u1cd2svfvk4q,0.3387096774193548,0.5,31,9
t9a891e0764br5ujna1a,0.15625,0.4166666666666667,16,6
tvsgkf4oqh769h40lj43,0.2142857142857142,0.5,28,10
uk8sadmdmw8p7e22l2yr,0.46,0.5,25,8
uy29im7a6hnc34lfp8ae,0.2407407407407407,0.3571428571428571,27,7
w1uwjc89gv68yxkutpoe,0.4821428571428571,0.4285714285714285,28,14
xsxczvs8iluovs3pt5q7,0.2,0.125,15,4
zc7xkcpo969z98kh6bg8,0.15,0.2857142857142857,30,7
zeuj820acn6zhcbx617v,0.5416666666666666,0.5833333333333334,24,6
